!Kheis	Kheis
Sothosprekend	Sotho-sprekend
Sothosprekende	Sotho-sprekende
Sothosprekendes	Sotho-sprekendes
Sothospreker	Sotho-spreker
Sothosprekers	Sotho-sprekers
Sotossindroom	Sotos-sindroom
Sotsji	Sochi
sotto_voce	Sotto_voce
sout-en-asyntjips	sout-en-asyn-tjips
Sowjetburokrasie	Sowjet-burokrasie
Sowjetjuk	Sowjet-juk
Sowjetondersteuning	Sowjet-ondersteuning
Sowjetpolitici	Sowjet-politici
Sowjetpolitikus	Sowjet-politikus
Sowjetpolitikusse	Sowjet-politikusse
Sowjetsameleving	Sowjet-sameleving
Sowjetsosialisme	Sowjet-sosialisme
spadiens	spa-diens
spadienste	spa-dienste
spaghetti_bolognese	spaghetti_bolognaise
spaghetti_bolognese	Spaghetti_bolognaise
spaghetti_bolognese	Spaghetti_bolognese
Spartakus	Spartacus
spasessie	spa-sessie
spasessies	spa-sessies
spataarulkus	spataar-ulkus
spataarulkusse	spataar-ulkusse
spektraallynstraling	spektraallyn-straling
spektroskopietegniek	spektroskopie-tegniek
spektroskopietegnieke	spektroskopie-tegnieke
Spes_Bonastraat	Spes_Bona-straat
spesialisinstelling	spesialis-instelling
spesialisinstellinge	spesialis-instellinge
spesialisinstellings	spesialis-instellings
spina_bifida	Spina_bifida
spin-baankoppeling	spinbaankoppeling
spinglasmagnetisme	spinglas-magnetisme
spoelklipkulture	spoelklip-kulture
spoelklipkultuur	spoelklip-kultuur
spogblyplek	spog-blyplek
spogblyplekke	spog-blyplekke
spontaneontwikkelingsteorie	spontane-ontwikkelingsteorie
sportspesifiek	sport-spesifiek
sportspesifieke	sport-spesifieke
Sprekelia_formosissima	Spreckelia_formosissima
sprekergeoriënteer	spreker-georiënteer
sprekergeoriënteerde	spreker-georiënteerde
Springbokafrigter	Springbok-afrigter
Springbokafrigters	Springbok-afrigters
Springbokagterspeler	Springbok-agterspeler
Springbokagterspelers	Springbok-agterspelers
Springbokkaptein	Springbok-kaptein
Springbokkapteins	Springbok-kapteins
Springbokondersteuner	Springbok-ondersteuner
Springbokondersteuners	Springbok-ondersteuners
springstofontploffing	springstof-ontploffing
springstofontploffinge	springstof-ontploffinge
springstofontploffings	springstof-ontploffings
spykerskrifkleitablet	spykerskrif-kleitablet
spykerskrifkleitablette	spykerskrif-kleitablette
St._Albansgevangenis	St._Albans_Gevangenis
St._Albansgevangenis	St._Albans-gevangenis
St._Albansgevangenis	St_Albans_Gevangenis
St._Albansgevangenis	St_Albansgevangenis
St._Albansgevangenis	St_Albans-gevangenis
St._Andrewlaan	St._Andrew-laan
St._Andrewlaan	St_Andrewlaan
St._Andrewlaan	St_Andrew-laan
St._Andrews	St_Andrews
St._Andrew's_College	St_Andrew's_College
St._Andrewskerk	St._Andrews-kerk
St._Andrewskerk	St_Andrewskerk
St._Andrewskerk	St_Andrews-kerk
St._Andrewsstraat	St._Andrews-straat
St._Andrewsstraat	St_Andrewsstraat
St._Andrewsstraat	St_Andrews-straat
St._Augustinelaan	St._Augustine-laan
St._Augustinelaan	St_Augustinelaan
St._Augustinelaan	St_Augustine-laan
St._Bernardlaan	St._Bernard-laan
St._Bernardlaan	St_Bernardlaan
St._Bernardlaan	St_Bernard-laan
St._Christopher	St_Christopher
St._Christopher_en_Nevis	St_Christopher_en_Nevis
St._Faith's	St_Faith's
St._Francisbaai	St_Francisbaai
St._Francislaan	St._Francis-laan
St._Francislaan	St_Francislaan
St._Francislaan	St_Francis-laan
St._Georgeslaan	St._Georges-laan
St._Georgeslaan	St_Georgeslaan
St._Georgeslaan	St_Georges-laan
St._Georgespark	St._Georges-park
St._Georgespark	St_Georgespark
St._Georgespark	St_Georges-park
St._Georgestraat	St._George-straat
St._Georgestraat	St_Georgestraat
St._Georgestraat	St_George-straat
St._Georgewandellaan	St._George-wandellaan
St._Georgewandellaan	St_Georgewandellaan
St._Georgewandellaan	St_George-wandellaan
St._James	St_James
St._Jameslaan	St_Jameslaan
St._John's_College	St_John's_College
St._Johnstraat	St._John-straat
St._Johnstraat	St_Johnstraat
St._Johnstraat	St_John-straat
St._Kitts	St_Kitts
St._Kitts_en_Nevis	St_Kitts_en_Nevis
St._Louis	St_Louis
St._Lucia	St_Lucia
St._Margaretweg	St_Margaretweg
St._Moritzstraat	St._Moritz-straat
St._Moritzstraat	St_Moritzstraat
St._Moritzstraat	St_Moritz-straat
St._Omerstraat	St._Omer-straat
St._Omerstraat	St_Omerstraat
St._Omerstraat	St_Omer-straat
St._Patricklaan	St._Patrick-laan
St._Patricklaan	St_Patricklaan
St._Patricklaan	St_Patrick-laan
St._Patrickweg	St._Patrick-weg
St._Patrickweg	St_Patrickweg
St._Patrickweg	St_Patrick-weg
St._Pauluskerk	St_Pauluskerk
St._Peterskerk	St_Peterskerk
St._Salvatorkatedraal	St._Salvator_katedraal
St._Salvatorkatedraal	St._Salvator_Katedraal
St._Salvatorkatedraal	St._Salvator-katedraal
St._Salvatorkatedraal	St_Salvator_katedraal
St._Salvatorkatedraal	St_Salvator_Katedraal
St._Salvatorkatedraal	St_Salvatorkatedraal
St._Salvatorkatedraal	St_Salvator-katedraal
St._Saviourstraat	St_Saviourstraat
St._Vincent	St_Vincent
Stabat_mater	stabat_mater
Stabat_mater	Stabat_Mater
stadsraadsvergadering	stadsraadvergadering
stadsraadsvergaderinge	stadsraadvergaderinge
stadsraadsvergaderings	stadsraadvergaderings
Stalwart_Simelanestraat	Stalwart_Simelane-straat
standaardevaluering	standaard-evaluering
standaardprosedure	standaard-prosedure
standaardprosedures	standaard-prosedures
standerdses	standerd-ses
standerdsesse	standerd-sesse
standerdsesser	standerd-sesser
standerdsessers	standerd-sessers
standerdsessie	standerd-sessie
standerdsessies	standerd-sessies
Stanza_Bopapestraat	Stanza_Bopape-straat
stasierestaurant	stasierestourant
stasierestaurante	stasierestourante
stasierestaurants	stasierestourants
Statebondaangeleenthede	Statebond-aangeleenthede
Statebondaangeleentheid	Statebond-aangeleentheid
Statebondjeugkampioenskap	Statebond-jeugkampioenskap
Statebondjeugkampioenskappe	Statebond-jeugkampioenskappe
Statebondland	Statebond-land
Statebondlande	Statebond-lande
Statebondslidmaatskap	Statebond-lidmaatskap
Statebondspelekampioen	Statebondspele-kampioen
Statebondspelekampioene	Statebondspele-kampioene
status_confessionis	Status_confessionis
status_quo	Status_quo
statusbewus	status-bewus
statusbewuste	status-bewuste
statusbewuster	status-bewuster
steekassegaai	steek-assegaai
steekassegaaie	steek-assegaaie
steen_des_aanstoots	Steen_des_aanstoots
Steentydperkspesie	Steentydperk-spesie
Steentydperkspesies	Steentydperk-spesies
Stefan-Boltzmannkonstante	Stefan-Boltzmann-konstante
Stefan-Boltzmannwet	Stefan-Boltzmann-wet
stemopname	stem-opname
stemopnames	stem-opnames
steratmosfeer	ster-atmosfeer
steratmosfere	ster-atmosfere
sterreastrofisika	sterre-astrofisika
sterre-ewolusie	sterre-evolusie
sterre-ewolusiestadia	sterre-evolusiestadia
sterre-ewolusiestadium	sterre-evolusiestadium
sterre-ewolusiestadiums	sterre-evolusiestadiums
sterre-uitbarstingsterrestelsel	steruitbarstingsterrestelsel
sterre-uitbarstingsterrestelsel	steruitbarsting-sterrestelsel
sterre-uitbarstingsterrestelsels	steruitbarstingsterrestelsels
sterre-uitbarstingsterrestelsels	steruitbarsting-sterrestelsels
Steve_Bikobrug	Steve_Biko-brug
Steve_Bikohospitaal	Steve_Biko-hospitaal
Steve_Bikolaan	Steve_Biko-laan
Steve_Bikorylaan	Steve_Biko-rylaan
Steve_Bikostraat	Steve_Biko-straat
Stias	STIAS
stikstofafskeiding	stikstof-afskeiding
stikstofafskeidinge	stikstof-afskeidinge
stikstofafskeidings	stikstof-afskeidings
stikstofuitskeiding	stikstof-uitskeiding
Stiligo	Stilicho
stisjoviet	stishoviet
stogasties	stochasties
stogastiese	stochastiese
stoigiometrie	stegiometrie
stoigiometrie	stoïgiometrie
stoigiometries	stegiometries
stoigiometries	stoïgiometries
stoigiometriese	stegiometriese
stoigiometriese	stoïgiometriese
straataf	straat-af
Strijdompark	Strydompark
strokiesprentaanpassing	strokiesprent-aanpassing
strokiesprentaanpassinge	strokiesprent-aanpassinge
strokiesprentaanpassings	strokiesprent-aanpassings
stroomaf	stroom-af
stroomop	stroom-op
struggleletterkunde	struggle-letterkunde
strugglelied	struggle-lied
struggleliedere	struggle-liedere
struggleveteraan	struggle-veteraan
struggleveterane	struggle-veterane
studenteaangeleenthede	studente-aangeleenthede
studenteadministrasie	studente-administrasie
studenteaktiwiteit	studente-aktiwiteit
studenteaktiwiteite	studente-aktiwiteite
studentekapelaan	studente-kapelaan
studentekapelaans	studente-kapelaans
studentekapelane	studente-kapelane
studenteondersteuning	studente-ondersteuning
studenteonrus	studente-onrus
studenteontspanningsentra	studente-ontspanningsentra
studenteontspanningsentrum	studente-ontspanningsentrum
studenteontspanningsentrums	studente-ontspanningsentrums
studenteopleiding	studente-opleiding
studenteopstel	studente-opstel
studenteopstelle	studente-opstelle
studenteorganisasie	studente-organisasie
studenteorganisasies	studente-organisasies
studentepolitiek	studente-politiek
studente-unie	studenteunie
studente-unies	studenteunies
studieagtergrond	studie-agtergrond
studieagtergronde	studie-agtergronde
studieobjek	studie-objek
studieobjekte	studie-objekte
studieontwerp	studie-ontwerp
studieontwerpe	studie-ontwerpe
Styx	Stuuks
sub_judice	Sub_judice
sub_rosa	Sub_rosa
sub_voce	Sub_voce
subatomies	sub-atomies
subatomiese	sub-atomiese
subdagsome	sub-dagsome
subdagsoom	sub-dagsoom
subdissipline	sub-dissipline
subdissiplines	sub-dissiplines
subgenre	sub-genre
subgenres	sub-genres
subindeks	sub-indeks
subindekse	sub-indekse
subklinies	sub-klinies
subkliniese	sub-kliniese
suffragaanbisdom	suffragaan-bisdom
suffragaanbisdomme	suffragaan-bisdomme
sui_generis	Sui_generis
Suid-Afrikaanse_Nasionale_Studentekongres	Suid-Afrikaanse_Nasionale_Studente-kongres
Suid-Afrikaanse_Skoleatletiek	Suid-Afrikaanse_Skole-atletiek
Suid-Afrikaanse_Vrouelandbou-unie	Suid-Afrikaanse_Vrouelandbou-unie
Suid-Afrikaanse_Vrouelandbou-unie	Suid-Afrikaanse_Vrouelandbou-Unie
Suid-Afrikaanse_Vrouelandbou-unie	Suid-Afrikaanse_Vroue-Landbou-unie
Suid-Afrikaanse_Vrouelandbou-unie	Suid-Afrikaanse_Vroue-Landbou-Unie
Suid-Afrikahuis	Suid-Afrika-Huis
Suid-Afrikaner	SA'ner
Suid-Afrikaners	SA'ners
Suider-Afrika_Agri-Inisiatief	Suider-Afrika_Agri_Inisiatief
Suid-Nederlands	Suidnederlands
Suid-Nederlandse	Suidnederlandse
suidoostelik	suid-oostelik
suidoostelike	suid-oostelike
Suid-Shetlandeilande	Suid-Shetland-eilande
Suid-Sjinese_See	Suid-Chinese_See
Suidtoring	Suid-toring
Suidwes-Afrika	Suidwesafrika
Suidwes-Afrikaans	Suidwesafrikaans
Suidwes-Afrikaanse	Suidwesafrikaanse
summa_cum_laude	Summa_cum_laude
summa_summarum	Summa_summarum
summum_bonum	Summum_bonum
Sunninghillhospitaal	Sunninghill-hospitaal
supernovaontploffing	supernova-ontploffing
supernovaontploffinge	supernova-ontploffinge
supernovaontploffings	supernova-ontploffings
supernovaoorblyfsel	supernova-oorblyfsel
supernovaoorblyfsels	supernova-oorblyfsels
supernovavorming	supernova-vorming
Suricata_suricatta	Suricata_suricata
surrogaatma	surrogaat-ma
surrogaatma's	surrogaat-ma's
sus_of_so	Sus_of_so
susterstadbetrekkinge	susterstad-betrekkinge
suur-basischemie	suur-basis-chemie
suur-basisewewig	suurbasis-ewewig
suur-basisewewig	suur-basis-ewewig
suurstofoordrag	suurstof-oordrag
swaarboomriffelpan	swaarboom-riffelpan
swaarboomriffelpanne	swaarboom-riffelpanne
swaartekragaantrekking	swaartekrag-aantrekking
swaartekraginvloed	swaartekrag-invloed
Swahiliwoord	Swahili-woord
Swahiliwoorde	Swahili-woorde
swakfunksionerend	swak-funksionerend
swakfunksionerende	swak-funksionerende
swakgehalteonderrig	swakgehalte-onderrig
Swapo-leier	Swapoleier
Swapo-leiers	Swapoleiers
swartgathorison	swartgat-horison
swartgesigimpala	swartgesig-impala
swartgesigimpalas	swartgesig-impalas
swartkolktermodinamika	swartkolk-termodinamika
swartkoppersieooi	swartkoppersie-ooi
swartkoppersieooie	swartkoppersie-ooie
Swartlandstreek	Swartland-streek
swart-witkwessie	swart-wit-kwessie
swart-witkwessies	swart-wit-kwessies
Swazikoning	Swazi-koning
Swazikonings	Swazi-konings
Sweet_Peakeerweg	Sweet_Pea_Keerweg
Sweet_Peakeerweg	Sweet_Pea-keerweg
syns_insiens	Syns_insiens
sysieagtige	sysie-agtige
sysieagtiges	sysie-agtiges
T.V._Morerylaan	T.V._Morerylaan
T.V._Morerylaan	T.V._More-rylaan
T.V._Morerylaan	T_V_Morerylaan
T.V._Morerylaan	T_V_More-rylaan
taakspanvoorsitter	taakspan-voorsitter
taakspanvoorsitters	taakspan-voorsitters
taalenklave	taal-enklave
taalenklaves	taal-enklaves
taalewolusie	taalevolusie
taalfoendie	taalfoendi
taalfoendie	taalfundi
taalfoendies	taalfoendi's
taalfoendies	taalfundi's
taalgedrewe	taal-gedrewe
taalkundeaanbod	taalkunde-aanbod
taaltegnologieprojek	taaltegnologie-projek
taaltegnologieprojekte	taaltegnologie-projekte
tabes_dorsalis	Tabes_dorsalis
tableau_vivant	Tableau_vivant
tableaux_vivants	Tableaux_vivants
taboewoord	taboe-woord
taboewoorde	taboe-woorde
tabula_rasa	Tabula_rasa
Tadjiek	Tadzjiek
Tadjieke	Tadzjieke
Tadjieks	Tadzjieks
Tadjiekse	Tadzjiekse
Tadjikistan	Tadzjikistan
Tadjikistanner	Tadzjikistanner
Tadjikistanners	Tadzjikistanners
Tadjikistans	Tadzjikistans
Tadjikistanse	Tadzjikistanse
taekwondo	tae-kwon-do
Tafelbaaiboulevard	Tafelbaai-boulevard
tafelolyf	tafel-olyf
tafelolywe	tafel-olywe
tafeltennismaraton	tafeltennismarathon
tafeltennismaratonne	tafeltennismarathonne
tafeltennismaratons	tafeltennismarathons
tagisme	tachisme
tai_chi	Tai_chi
Takatsokonsortium	Takatso-konsortium
Taksimplein	Taksim-plein
talassokrasie	thalassokrasie
Tales	Thales
Talia	Thalia
Talibanmagte	Taliban-magte
tambotie	tamboti
tamboties	tamboti's
tandvleis	tandvlees
tanzaniet	tansaniet
Tarantulanewel	Tarantula-newel
tarieweoorloë	tariewe-oorloë
tarieweoorlog	tariewe-oorlog
Tarquiniërdinastie	Tarquiniër-dinastie
Tasos	Thasos
taulepton	tau-lepton
tauleptone	tau-leptone
tauneutrino	tau-neutrino
tauneutrino's	tau-neutrino's
taxibestuurder	taxi-bestuurder
taxibestuurders	taxi-bestuurders
taxiongeluk	taxi-ongeluk
taxiongelukke	taxi-ongelukke
taxiorganisasie	taxi-organisasie
taxiorganisasies	taxi-organisasies
taxistaanplek	taxi-staanplek
taxistaanplekke	taxi-staanplekke
taylorreeks	Taylor-reeks
taylorreekse	Taylor-reekse
te_alle_tye	Te_alle_tye
te_baat	Te_baat
te_bekwamer_tyd	Te_bekwamer_tyd
te_berde	Te_berde
te_binne	Te_binne
te_bowe	Te_bowe
te_buite	Te_buite
te_danke	Te_danke
te_danke_aan	Te_danke_aan
te_denke	Te_denke
te_dien_effekte	Te_dien_effekte
te_dien_einde	Te_dien_einde
te_eniger_tyd	Te_eniger_tyd
te_gelde	Te_gelde
te_geleëner_tyd	Te_geleëner_tyd
te_gelegener_tyd	Te_gelegener_tyd
te_gener_tyd	Te_gener_tyd
te_goeder_trou	Te_goeder_trou
te_gronde	Te_gronde
te_hore	Te_hore
te_kampe	Te_kampe
te_kenne	Te_kenne
te_kere	Te_kere
te_kere	tekere
te_kies_en_te_keur	Te_kies_en_te_keur
te_kus_en_te_keur	Te_kus_en_te_keur
te_kwader_trou	Te_kwader_trou
te_kwader_ure	Te_kwader_ure
te_lande	Te_lande
te_laste	Te_laste
te_lene	Te_lene
te_loor	Te_loor
te_make	Te_make
te_midde_van	Te_midde_van
te_moede	Te_moede
te_niet	Te_niet
te_onpas	Te_onpas
te_pas	Te_pas
te_pletter	Te_pletter
te_stade	Te_stade
te_stigte	Te_stigte
te_velde	Te_velde
te_vinde	Te_vinde
te_voorskyn	Te_voorskyn
te_waaie	Te_waaie
te_wagte	Te_wagte
te_wete	Te_wete
te_wyte	Te_wyte
te_wyte_aan	Te_wyte_aan
teaterfasiliteerder	teater-fasiliteerder
teaterfasiliteerders	teater-fasiliteerders
Tebaan	Thebaan
Tebaans	Thebaans
Tebaanse	Thebaanse
Tebaïs	Thebaïs
Tebane	Thebane
Tebe	Thebe
teen_heug_en_meug	Teen_heug_en_meug
teengeldwasserywetsontwerp	teen-geldwassery-wetsontwerp
teengeldwasserywetsontwerpe	teen-geldwassery-wetsontwerpe
teenkabeldiefstaleenhede	teenkabeldiefstal-eenhede
teenkabeldiefstaleenheid	teenkabeldiefstal-eenheid
teenmalariamedisyne	teenmalaria-medisyne
teenmalariamedisynes	teenmalaria-medisynes
teenpsigosemedikasie	teenpsigose-medikasie
teenrewolusie	teenrevolusie
teenrewolusies	teenrevolusies
teenrewolusionêr	teenrevolusionêr
teenrewolusionêre	teenrevolusionêre
teenterreurdeskundige	teenterreur-deskundige
teenterreurdeskundiges	teenterreur-deskundiges
teenvigsmiddel	teen-vigs-middel
teenvigsmiddele	teen-vigs-middele
teenvigsmiddels	teen-vigs-middels
tegnikon	technikon
tegnikons	technikons
tegnikonsektor	technikonsektor
tegnologielandskap	tegnologie-landskap
tegnologieoordrag	tegnologie-oordrag
tegnologiewebwerf	tegnologie-webwerf
tegnologiewebwerwe	tegnologie-webwerwe
teikengroepidentifisering	teikengroep-identifisering
teksboekvoorbeeld	teksboek-voorbeeld
teksboekvoorbeelde	teksboek-voorbeelde
tekslinguisties	teks-linguisties
tekslinguistiese	teks-linguistiese
tektosilikaat	tekto-silikaat
tektosilikate	tekto-silikate
Telemagos	Telemachos
Telemagus	Telemachus
televisieadvertensie	televisie-advertensie
televisieadvertensies	televisie-advertensies
televisieontvangstoestel	televisie-ontvangstoestel
televisieontvangstoestelle	televisie-ontvangstoestelle
Teloegoe	Telugu
Temis	Themis
Temistokles	Themistokles
tempobeperkend	tempo-beperkend
tempobeperkende	tempo-beperkende
tempoversnelling	tempo-versnelling
tempoversnellinge	tempo-versnellinge
tempoversnellings	tempo-versnellings
ten_aanhore_van	Ten_aanhore_van
ten_aanskoue_van	Ten_aanskoue_van
ten_alle_tye	Ten_alle_tye
ten_bate_van	Ten_bate_van
ten_behoewe_van	Ten_behoewe_van
ten_beste	Ten_beste
ten_dele	Ten_dele
ten_diepste	Ten_diepste
ten_duurste	Ten_duurste
ten_eerste	Ten_eerste
ten_effekte	Ten_effekte
ten_einde	Ten_einde
ten_ene_male	Ten_ene_male
ten_faveure_van	Ten_faveure_van
ten_gebruike	Ten_gebruike
ten_geriewe_van	Ten_geriewe_van
ten_gevolge_van	Ten_gevolge_van
ten_goede	Ten_goede
ten_gronde	Ten_gronde
ten_gunste_van	Ten_gunste_van
ten_hoogste	Ten_hoogste
ten_huidige_dae	Ten_huidige_dae
ten_huise_van	Ten_huise_van
ten_kwade	Ten_kwade
ten_laaste	Ten_laaste
ten_laste	Ten_laste
ten_nouste	Ten_nouste
ten_nutte_van	Ten_nutte_van
ten_onregte	te_onregte
ten_onregte	Te_onregte
ten_onregte	Ten_onregte
ten_oorstaan_van	Ten_oorstaan_van
ten_opsigte_van	Ten_opsigte_van
ten_seerste	Ten_seerste
ten_slotte	Ten_slotte
ten_slotte	tenslotte
ten_slotte	Tenslotte
ten_spyt	Ten_spyt
ten_spyte_daarvan	Ten_spyte_daarvan
ten_spyte_van	Ten_spyte_van
ten_sterkste	Ten_sterkste
ten_tonele	Ten_tonele
ten_toon	Ten_toon
ten_tyde_van	Ten_tyde_van
ten_tye_van	Ten_tye_van
ten_volle	Ten_volle
ten_voordele_van	Ten_voordele_van
Teokritos	Theokritos
teologiestudent	teologie-student
teologiestudente	teologie-studente
ter_aangehaalde_plaatse	Ter_aangehaalde_plaatse
ter_aarde	Ter_aarde
ter_afsluiting	Ter_afsluiting
ter_bevordering_van	Ter_bevordering_van
ter_elfder_ure	Ter_elfder_ure
ter_ere_van	Ter_ere_van
ter_geleëner_tyd	Ter_geleëner_tyd
ter_gelegener_tyd	Ter_gelegener_tyd
ter_informasie	Ter_informasie
ter_insae	Ter_insae
ter_nagedagtenis_van	Ter_nagedagtenis_van
ter_plaatse	Ter_plaatse
ter_ruste	Ter_ruste
ter_sake	Ter_sake
ter_sluiks	Ter_sluiks
ter_sprake	Ter_sprake
ter_syde	Ter_syde
ter_tale	Ter_tale
ter_uitdrukking_van	Ter_uitdrukking_van
ter_verklaring	Ter_verklaring
ter_waarde_van	Ter_waarde_van
ter_wille	Ter_wille
ter_wille	terwille
ter_wille	Terwille
ter_wille_van	Ter_wille_van
ter_wille_van	terwille_van
ter_wille_van	Terwille_van
Tera	Thera
terblans	terblanz
terblanse	terblanze
terblanshout	terblanzhout
terblanshoute	terblanzhoute
terminologieontwikkeling	terminologie-ontwikkeling
terminus_a_quo	Terminus_a_quo
terminus_ad_quem	Terminus_ad_quem
termoëlektries	termo-elektries
termoëlektriese	termo-elektriese
termokoppelelement	termokoppel-element
termokoppelelemente	termokoppel-elemente
Termopulai	Thermopulai
Termopulai	Thermopylae
Terpsigore	Terpsichore
terra_firma	Terra_firma
terra_incognita	Terra_incognita
terracotta	terra-cotta
terracottabeeld	terra-cottabeeld
terracottabeelde	terra-cottabeelde
terracottabeker	terra-cottabeker
terracottabekers	terra-cottabekers
terracottateël	terra-cottateël
terracottateëls	terra-cottateëls
terreurbedreiging	terreur-bedreiging
terreurbedreiginge	terreur-bedreiginge
terreurbedreigings	terreur-bedreigings
terreurbeskuldigde	terreur-beskuldigde
terreurbeskuldigdes	terreur-beskuldigdes
terugvoermeganisme	terugvoer-meganisme
terugvoermeganismes	terugvoer-meganismes
Teseus	Theseus
tesouri	thesauri
tesourus	thesaurus
Tespis	Thespis
Tessalië	Thessalië
Tessaliër	Thessaliër
Tessaliërs	Thessaliërs
Tessalies	Thessalies
Tessaliese	Thessaliese
Tessaloniër	Thessaloniër
Tessaloniërs	Thessaloniërs
Tessalonies	Thessalonies
Tessaloniese	Thessaloniese
Tessalonika	Thessalonika
Tessalonisense	Thessalonicense
testosteroonbelaai	testosteroon-belaai
testosteroonbelaaide	testosteroon-belaaide
tetanusentstof	tetanus-entstof
tetanusentstowwe	tetanus-entstowwe
tête-à-tête	tête_à_tête
tête-à-tête	Tête_à_tête
Tetis	Thetis
Thabinagoudveld	Thabina-goudveld
Thabo_Mbekirylaan	Thabo_Mbeki-rylaan
Thabo_Sehumestraat	Thabo_Sehume-straat
Thai	Tai
Thailand	Tailand
Thailander	Tailander
Thailanders	Tailanders
Thailands	Tailands
Thailandse	Tailandse
Thais	Tais
Thaise	Taise
Thanksgivingete	Thanksgiving-ete
Thanksgivingetes	Thanksgiving-etes
thoer	dhoe'r
thoer	thur
thomas	tomas
thomasse	tomasse
Thys_Lewisstraat	Thys_Lewis-straat
Tibettaan	Tibetaan
Tibettaans	Tibetaans
Tibettaanse	Tibetaanse
Tibettane	Tibetane
Tibetto-Birmaans	Tibeto-Birmaans
Tibetto-Birmaanse	Tibeto-Birmaanse
Tibetto-Birmees	Tibeto-Birmees
Tibetto-Birmese	Tibeto-Birmese
Tibetto-Sjinees	Tibeto-Chinees
Tibetto-Sjinees	Tibeto-Sjinees
Tibetto-Sjinees	Tibetto-Chinees
Tibetto-Sjinese	Tibeto-Chinese
Tibetto-Sjinese	Tibeto-Sjinese
Tibetto-Sjinese	Tibetto-Chinese
tiemieolie	tiemie-olie
Tiende_Laan	10e_Laan
Tiende_Laan	Tiendelaan
tierklipkabeljou	tier-klipkabeljou
tierklipkabeljoue	tier-klipkabeljoue
tiesjoe	tissue
tiesjoes	tissues
tiesjoetjie	tissuetjie
tiesjoetjies	tissuetjies
tiktak	tik-tak
tinmynbou	tin-mynbou
tipsietert	tipsytert
tipsieterte	tipsyterte
tirannosouriër	tyrannosouriër
tirannosouriërs	tyrannosouriërs
tirannosourus	tyrannosourus
tirannosourusse	tyrannosourusse
tiroïdestimulerend	tiroïde-stimulerend
tiroïdestimulerende	tiroïde-stimulerende
tiroïedstimulerend	tiroïed-stimulerend
tiroïedstimulerende	tiroïed-stimulerende
Tirool	Tirol
Tisbe	Thisbe
titanearbeid	titane-arbeid
Titiaan	Titian
tjakalaka	chakalaka
tjakra	chakra
tjakram	chakram
tjakrams	chakrams
tjakras	chakras
tjappie	chappie
tjappies	chappies
tjêr-tjêr	tjêrtjêr
tjêr-tjêrs	tjêrtjêrs
tjêr-tjêrtjie	tjêrtjêrtjie
tjêr-tjêrtjies	tjêrtjêrtjies
tjintjilla	chinchilla
tjintjillakonyn	chinchillakonyn
tjintjillakonyne	chinchillakonyne
tjintjillas	chinchillas
tjoeftjaf	tjoef-tjaf
tjor-tjor	tjortjor
tjor-tjorre	tjortjorre
tjor-tjors	tjortjors
tjou-tjou-konfyt	tjou-tjoukonfyt
tjou-tjou-slaai	tjou-tjouslaai
tjou-tjou-spul	tjou-tjouspul
Tobias_Hainyekostraat	Tobias_Hainyeko-straat
Tobroek	Tobruk
toeëien	toe-eien
toeëiening	toe-eiening
toefaägtig	toefa-agtig
toefaägtige	toefa-agtige
toelaeaansoek	toelae-aansoek
toelaeaansoeke	toelae-aansoeke
toemaar	toe_maar
toemaar	Toe_maar
toenou	toe_nou
toenou	Toe_nou
toentertyd	toendertyd
toeoë	toe-oë
toeoog	toe-oog
toerismeaantreklikhede	toerisme-aantreklikhede
toerismeaantreklikheid	toerisme-aantreklikheid
toerismeagentskap	toerisme-agentskap
toerismeagentskappe	toerisme-agentskappe
toerismeanalise	toerisme-analise
toerismeattraksie	toerisme-attraksie
toerismeattraksies	toerisme-attraksies
toerismegeografie	toerisme-geografie
toerismeonderneming	toerisme-onderneming
toerismeonderneminge	toerisme-onderneminge
toerismeondernemings	toerisme-ondernemings
toeristeaankoms	toeriste-aankoms
toeristeaankomste	toeriste-aankomste
toeristeaantreklikhede	toeriste-aantreklikhede
toeristeaantreklikheid	toeriste-aantreklikheid
toeristeakkommodasie	toeriste-akkommodasie
toeristeseisoen	toeriste-seisoen
Toetankamen	Tutankamen
Toetankamen	Tut-Ank-Amen
Toewaloe	Tuvalu
Toewaloeaan	Tuvaluaan
Toewaloeaans	Tuvaluaans
Toewaloeaanse	Tuvaluaanse
Toewaloeane	Tuvaluane
tofoe	tofu
Togaar	Tochaar
Togaars	Tochaars
Togaarse	Tochaarse
Togare	Tochare
Tokaiwoud	Tokai-woud
Tokioïet	Tokyoïet
Tokioïete	Tokyoïete
Tokiose	Tokyose
tonsillektomie	tonsilektomie
tonsillektomieë	tonsilektomieë
tonsillitis	tonsilitis
toonhoogtekontoer	toonhoogte-kontoer
toonhoogtekontoere	toonhoogte-kontoere
toonhoogteomvang	toonhoogte-omvang
toonhoogtevariasie	toonhoogte-variasie
toonhoogtevariasies	toonhoogte-variasies
topnetbalspeler	top-netbalspeler
topnetbalspelers	top-netbalspelers
toprestaurant	toprestourant
toprestaurante	toprestourante
toprestaurants	toprestourants
topuniversiteit	top-universiteit
topuniversiteite	top-universiteite
Tora	Torah
torium	thorium
Tórshavn	Thorshavn
Tórshavn	Torshavn
tot_barstens	Tot_barstens
tot_barstens_toe	Tot_barstens_toe
tot_bloedens_toe	Tot_bloedens_toe
tot_dusver	Tot_dusver
tot_dusvêr	Tot_dusvêr
